Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C8",0603,3,1u,C15849
"C10, C11",0402,2,15p,C1548
C2,0603,1,10u,C96446
"C3, C4, C5, C6, C7, C9",0402,6,100n,C307331
D2,0805,1,LED,C2297
D3,0805,1,LED,C84256
FB1,0805,1,FerriteBead_Small,C1015
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,C319148
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J4,zigzag_pin_header_2.545mm_4p,1,Conn_01x04_Pin,
"R1, R2, R7, R8",0402,4,5.1k,C25905
"R10, R4, R5, R6",0402,4,10k,C25744
R3,0402,1,470,C25117
R9,0402,1,1.5k,C25867
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U2,SOT-23-3,1,XC6206P332MR,C5446
U3,SOT-23-6,1,SRV05-4,C85364
U4,VSSOP-8_3x3mm_P0.65mm,1,TMAG5170-A2,C3716101
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
