Designator,Mid X,Mid Y,Rotation,Layer
C1,106.75,-147.25,90.0,top
C10,119.0,-128.75,270.0,top
C11,113.0,-128.75,90.0,top
C12,115.0,-70.75,0.0,top
C2,103.75,-144.0,0.0,top
C3,118.0,-132.25,90.0,top
C4,112.5,-132.75,0.0,top
C5,108.75,-142.0,90.0,top
C6,117.75,-145.25,180.0,top
C7,121.25,-136.0,270.0,top
C8,111.5,-131.25,0.0,top
C9,120.5,-128.75,270.0,top
D2,105.0,-131.0,0.0,top
D3,105.0,-134.5,0.0,top
FB1,109.75,-147.75,180.0,top
J1,115.0,-155.75,0.0,top
J2,126.005,-130.75,270.0,top
J3,126.005,-135.0,270.0,top
J4,127.725,-144.81,0.0,top
R1,108.75,-152.5,90.0,top
R10,115.5,-75.0,0.0,top
R2,121.25,-152.5,90.0,top
R3,115.0,-132.25,270.0,top
R4,121.75,-139.25,180.0,top
R5,121.75,-138.0,180.0,top
R6,107.25,-140.75,270.0,top
R7,105.0,-132.75,180.0,top
R8,105.0,-136.25,180.0,top
R9,117.75,-146.5,180.0,top
U1,115.0,-139.0,180.0,top
U2,103.75,-147.25,90.0,top
U3,114.0,-147.75,90.0,top
U4,115.0,-66.25,180.0,top
Y1,116.0,-128.75,0.0,top
